medallion,hack_license,vendor_id,rate_code_id,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_sec,trip_distance,pickup_long,pickup_lat,dropoff_long,dropoff_lat
0BD7C8F5BA12B88E0B67BED28BEA73D8,9FD8F69F0804BDB5549F40E9DA1BE472,CMT,1,N,2013-01-06T00:18:35.000+0000,2013-01-06T00:22:54.000+0000,1,259,1.5,-74.006683,40.731781,-73.994499,40.75066
0BD7C8F5BA12B88E0B67BED28BEA73D8,9FD8F69F0804BDB5549F40E9DA1BE472,CMT,1,N,2013-01-05T18:49:41.000+0000,2013-01-05T18:54:23.000+0000,1,282,1.1,-74.004707,40.73777,-74.009834,40.726002
DFD2202EE08F7A8DC9A57B02ACB81FE2,51EE87E3205C985EF8431D850C786310,CMT,1,N,2013-01-07T23:54:15.000+0000,2013-01-07T23:58:20.000+0000,2,244,0.7,-73.974602,40.759945,-73.984734,40.759388
DFD2202EE08F7A8DC9A57B02ACB81FE2,51EE87E3205C985EF8431D850C786310,CMT,1,N,2013-01-07T23:25:03.000+0000,2013-01-07T23:34:24.000+0000,1,560,2.1,-73.97625,40.748528,-74.002586,40.747868
20D9ECB2CA0767CF7A01564DF2844A3E,598CCE5B9C1918568DEE71F43CF26CD2,CMT,1,N,2013-01-07T15:27:48.000+0000,2013-01-07T15:38:37.000+0000,1,648,1.7,-73.966743,40.764252,-73.983322,40.743763
496644932DF3932605C22C7926FF0FE0,513189AD756FF14FE670D10B92FAF04C,CMT,1,N,2013-01-08T11:01:15.000+0000,2013-01-08T11:08:14.000+0000,1,418,0.8,-73.995804,40.743977,-74.007416,40.744343
0B57B9633A2FECD3D3B1944AFC7471CF,CCD4367B417ED6634D986F573A552A62,CMT,1,N,2013-01-07T12:39:18.000+0000,2013-01-07T13:10:56.000+0000,3,1898,10.7,-73.989937,40.756775,-73.86525,40.77063
2C0E91FF20A856C891483ED63589F982,1DA2F6543A62B8ED934771661A9D2FA0,CMT,1,N,2013-01-07T18:15:47.000+0000,2013-01-07T18:20:47.000+0000,1,299,0.8,-73.980072,40.743137,-73.982712,40.735336
2D4B95E2FA7B2E85118EC5CA4570FA58,CD2F522EEE1FF5F5A8D8B679E23576B3,CMT,1,N,2013-01-07T15:33:28.000+0000,2013-01-07T15:49:26.000+0000,2,957,2.5,-73.977936,40.786983,-73.952919,40.80637
E12F6AF991172EAC3553144A0AF75A19,06918214E951FA0003D1CC54955C2AB0,CMT,1,N,2013-01-08T13:11:52.000+0000,2013-01-08T13:19:50.000+0000,1,477,1.3,-73.982452,40.773167,-73.964134,40.773815
E12F6AF991172EAC3553144A0AF75A19,06918214E951FA0003D1CC54955C2AB0,CMT,1,N,2013-01-08T09:50:05.000+0000,2013-01-08T10:02:54.000+0000,1,768,0.7,-73.99556,40.749294,-73.988686,40.759052
78FFD9CD0CDA541F335EF8B38FB494D6,E949C583ECF62C8F03FDCE1484954A08,CMT,1,N,2013-01-10T12:07:08.000+0000,2013-01-10T12:17:29.000+0000,1,620,2.3,-73.971497,40.791321,-73.964478,40.775921
237F49C3ECC11F5024B254268F054384,93C363DDF8ED9385D65FAD07CE3F5F07,CMT,1,N,2013-01-07T07:35:47.000+0000,2013-01-07T07:46:00.000+0000,1,612,2.3,-73.98851,40.774307,-73.981094,40.755325
3349F919AA8AE5DC9C50A3773EA45BD8,7CE849FEF67514F080AF80D990F7EF7F,CMT,1,N,2013-01-10T15:42:29.000+0000,2013-01-10T16:04:02.000+0000,1,1293,3.2,-73.994911,40.723221,-73.971558,40.761612
3349F919AA8AE5DC9C50A3773EA45BD8,7CE849FEF67514F080AF80D990F7EF7F,CMT,1,N,2013-01-10T14:27:28.000+0000,2013-01-10T14:45:21.000+0000,1,1073,4.4,-74.010391,40.708702,-73.987846,40.756104
4C005EEBAA7BF26B84B21586332488A2,351BE7D984BE17DB2FA80A748E816472,CMT,1,N,2013-01-07T22:09:59.000+0000,2013-01-07T22:19:50.000+0000,1,591,1.7,-73.973732,40.756287,-73.998413,40.756832
7D99C30FCE69B1A9DD27E2AEAC9BFA0C,460C3F57DD9CB2265DB75B14CD70224D,CMT,1,N,2013-01-07T17:18:16.000+0000,2013-01-07T17:20:55.000+0000,1,158,0.7,-73.968925,40.767704,-73.96199,40.776566
E6FBF80668FE0611AEA44FD9574A7E32,36773E80775F26CD1158EB5450A61C79,CMT,1,N,2013-01-07T06:08:51.000+0000,2013-01-07T06:13:14.000+0000,1,262,1.7,-73.96212,40.769737,-73.979561,40.75539
0C5296F3C8B16E702F8F2E06F5106552,D2363240A9295EF570FC6069BC4F4C92,CMT,1,N,2013-01-07T22:25:46.000+0000,2013-01-07T22:36:56.000+0000,1,669,2.3,-73.989708,40.756714,-73.977615,40.787575
